Country Name,Country Code,Access to electricity (% of population),"Fertility rate, total (births per woman)",GDP per capita (current US$),"Life expectancy at birth, total (years)",Region
Aruba,ABW,100.0,1.896,,76.152,Latin America & Caribbean
Afghanistan,AFG,98.7132034301758,4.473,493.750418116312,64.486,South Asia
Angola,AGO,43.2592582702637,5.519,3289.64666408633,60.782,Sub-Saharan Africa
Albania,ALB,100.0,1.617,5284.38018438156,78.458,Europe & Central Asia
Andorra,AND,100.0,,41793.0552583729,,Europe & Central Asia
Arab World,ARB,89.28685622331601,3.2310911562604,6601.82518932287,71.8068251623605,
United Arab Emirates,ARE,100.0,1.413,43839.3563491413,77.814,Middle East & North Africa
Argentina,ARG,100.0,2.261,11633.498008646498,76.52,Latin America & Caribbean
Armenia,ARM,100.0,1.755,4220.4902767124895,74.945,Europe & Central Asia
American Samoa,ASM,,,11466.6907058505,,East Asia & Pacific
Antigua and Barbuda,ATG,100.0,1.994,16672.744239576397,76.885,Latin America & Caribbean
Australia,AUS,100.0,1.74,57354.9640455891,82.74878048780491,East Asia & Pacific
Austria,AUT,100.0,1.47,51478.2852619277,81.6926829268293,Europe & Central Asia
Azerbaijan,AZE,100.0,1.73,4739.841710283929,72.86399999999999,Europe & Central Asia
Burundi,BDI,11.024251937866199,5.41,271.752044376648,61.247,Sub-Saharan Africa
Belgium,BEL,100.0,1.62,47583.0749405066,81.5951219512195,Europe & Central Asia
Benin,BEN,41.529239654541,4.836,1240.82946441954,61.47,Sub-Saharan Africa
Burkina Faso,BFA,14.4,5.189,813.096848960038,61.174,Sub-Saharan Africa
Bangladesh,BGD,85.1604232788086,2.036,1698.3503942812197,72.32,South Asia
Bulgaria,BGR,100.0,1.56,9427.73043039881,74.9634146341464,Europe & Central Asia
Bahrain,BHR,100.0,1.9869999999999999,23991.05667694,77.163,Middle East & North Africa
"Bahamas, The",BHS,100.0,1.7519999999999998,33767.5033710196,73.752,Latin America & Caribbean
Bosnia and Herzegovina,BIH,100.0,1.265,6072.184622853039,77.262,Europe & Central Asia
Belarus,BLR,100.0,1.4480000000000002,6330.0752464187,74.1756097560976,Europe & Central Asia
Belize,BLZ,99.5400161743164,2.307,4884.7341615523,74.49600000000001,Latin America & Caribbean
Bermuda,BMU,100.0,1.6,113021.417396746,81.6517073170732,North America
Bolivia,BOL,95.5853652954102,2.73,3548.59015508448,71.23899999999999,Latin America & Caribbean
Brazil,BRA,100.0,1.73,9001.23424863499,75.672,Latin America & Caribbean
Barbados,BRB,100.0,1.619,17745.1934649963,79.081,Latin America & Caribbean
Brunei Darussalam,BRN,100.0,1.848,31628.328791434902,75.722,East Asia & Pacific
Bhutan,BTN,100.0,1.975,3243.48603638229,71.46,South Asia
Botswana,BWA,64.8517227172852,2.8739999999999997,8279.60173877574,69.275,Sub-Saharan Africa
Central African Republic,CAF,32.420398712158196,4.721,475.95360987194505,52.805,Sub-Saharan Africa
Canada,CAN,100.0,1.4988,46313.17137129611,81.94878048780491,North America
Central Europe and the Baltics,CEB,100.0,1.57442018415221,16037.4818998226,76.97684517184,
Switzerland,CHE,100.0,1.52,82818.1081617471,83.7536585365854,Europe & Central Asia
Channel Islands,CHI,,1.51,,82.928,Europe & Central Asia
Chile,CHL,100.0,1.649,15924.794239306399,80.042,Latin America & Caribbean
